date;amount;cumulative
2020-01-20;0,0;-21044,37999999998
2020-01-21;145,04;-20899,33999999998
2020-01-22;0,0;-20899,33999999998
2020-01-23;0,0;-20899,33999999998
2020-01-24;106,94;-20792,39999999998
2020-01-25;164,87;-20627,52999999998
2020-01-26;311,86;-20315,66999999998
2020-01-27;0,0;-20315,66999999998
2020-01-28;109,36;-20206,30999999998
2020-01-29;0,0;-20206,30999999998
2020-01-30;0,0;-20206,30999999998
2020-01-31;0,0;-20206,30999999998
2020-02-01;0,0;-20206,30999999998
2020-02-02;0,0;-20206,30999999998
2020-02-03;213,88;-19992,42999999998
2020-02-04;0,0;-19992,42999999998
2020-02-05;0,0;-19992,42999999998
2020-02-06;0,0;-19992,42999999998
2020-02-07;308,28;-19684,14999999998
2020-02-08;0,0;-19684,14999999998
2020-02-09;0,0;-19684,14999999998
2020-02-10;0,0;-19684,14999999998
2020-02-11;0,0;-19684,14999999998
2020-02-12;587,08;-19097,069999999978
2020-02-13;0,0;-19097,069999999978
2020-02-14;0,0;-19097,069999999978
2020-02-15;0,0;-19097,069999999978
2020-02-16;0,0;-19097,069999999978
2020-02-17;0,0;-19097,069999999978
2020-02-18;0,0;-19097,069999999978
2020-02-19;0,0;-19097,069999999978
2020-02-20;0,0;-19097,069999999978
2020-02-21;145,04;-18952,029999999977
2020-02-22;0,0;-18952,029999999977
2020-02-23;0,0;-18952,029999999977
2020-02-24;106,94;-18845,08999999998
2020-02-25;164,87;-18680,21999999998
2020-02-26;311,86;-18368,35999999998
2020-02-27;0,0;-18368,35999999998
2020-02-28;109,36;-18258,999999999978
2020-02-29;0,0;-18258,999999999978
2020-03-01;0,0;-18258,999999999978
2020-03-02;0,0;-18258,999999999978
2020-03-03;213,88;-18045,119999999977
2020-03-04;0,0;-18045,119999999977
2020-03-05;0,0;-18045,119999999977
2020-03-06;0,0;-18045,119999999977
2020-03-07;308,28;-17736,83999999998
2020-03-08;0,0;-17736,83999999998
2020-03-09;0,0;-17736,83999999998
2020-03-10;0,0;-17736,83999999998
2020-03-11;0,0;-17736,83999999998
2020-03-12;587,08;-17149,759999999977
2020-03-13;0,0;-17149,759999999977
2020-03-14;0,0;-17149,759999999977
2020-03-15;0,0;-17149,759999999977
2020-03-16;0,0;-17149,759999999977
2020-03-17;0,0;-17149,759999999977
2020-03-18;0,0;-17149,759999999977
2020-03-19;0,0;-17149,759999999977
2020-03-20;0,0;-17149,759999999977
2020-03-21;145,04;-17004,719999999976
2020-03-22;0,0;-17004,719999999976
2020-03-23;0,0;-17004,719999999976
2020-03-24;106,94;-16897,779999999977
2020-03-25;164,87;-16732,909999999978
2020-03-26;311,86;-16421,049999999977
2020-03-27;0,0;-16421,049999999977
2020-03-28;109,36;-16311,689999999977
2020-03-29;0,0;-16311,689999999977
2020-03-30;0,0;-16311,689999999977
2020-03-31;0,0;-16311,689999999977
2020-04-01;0,0;-16311,689999999977
2020-04-02;0,0;-16311,689999999977
2020-04-03;213,88;-16097,809999999978
2020-04-04;0,0;-16097,809999999978
2020-04-05;0,0;-16097,809999999978
2020-04-06;0,0;-16097,809999999978
2020-04-07;308,28;-15789,529999999977
2020-04-08;0,0;-15789,529999999977
2020-04-09;0,0;-15789,529999999977
2020-04-10;0,0;-15789,529999999977
2020-04-11;0,0;-15789,529999999977
2020-04-12;587,08;-15202,449999999977
2020-04-13;0,0;-15202,449999999977
2020-04-14;0,0;-15202,449999999977
2020-04-15;0,0;-15202,449999999977
2020-04-16;0,0;-15202,449999999977
2020-04-17;0,0;-15202,449999999977
2020-04-18;0,0;-15202,449999999977
2020-04-19;0,0;-15202,449999999977
2020-04-20;0,0;-15202,449999999977
2020-04-21;145,04;-15057,409999999976
2020-04-22;0,0;-15057,409999999976
2020-04-23;0,0;-15057,409999999976
2020-04-24;0,0;-15057,409999999976
2020-04-25;164,87;-14892,539999999975
2020-04-26;311,86;-14580,679999999975
2020-04-27;0,0;-14580,679999999975
2020-04-28;109,36;-14471,319999999974
2020-04-29;0,0;-14471,319999999974
2020-04-30;0,0;-14471,319999999974
2020-05-01;0,0;-14471,319999999974
2020-05-02;0,0;-14471,319999999974
2020-05-03;213,88;-14257,439999999975
2020-05-04;0,0;-14257,439999999975
2020-05-05;0,0;-14257,439999999975
2020-05-06;0,0;-14257,439999999975
2020-05-07;308,28;-13949,159999999974
2020-05-08;0,0;-13949,159999999974
2020-05-09;0,0;-13949,159999999974
2020-05-10;0,0;-13949,159999999974
2020-05-11;0,0;-13949,159999999974
2020-05-12;587,08;-13362,079999999974
2020-05-13;0,0;-13362,079999999974
2020-05-14;0,0;-13362,079999999974
2020-05-15;0,0;-13362,079999999974
2020-05-16;0,0;-13362,079999999974
2020-05-17;0,0;-13362,079999999974
2020-05-18;0,0;-13362,079999999974
2020-05-19;0,0;-13362,079999999974
2020-05-20;0,0;-13362,079999999974
2020-05-21;145,04;-13217,039999999974
2020-05-22;0,0;-13217,039999999974
2020-05-23;0,0;-13217,039999999974
2020-05-24;109,94;-13107,099999999973
2020-05-25;164,87;-12942,229999999972
2020-05-26;311,86;-12630,369999999972
2020-05-27;0,0;-12630,369999999972
2020-05-28;109,36;-12521,009999999971
2020-05-29;0,0;-12521,009999999971
2020-05-30;0,0;-12521,009999999971
2020-05-31;0,0;-12521,009999999971
2020-06-01;0,0;-12521,009999999971
2020-06-02;0,0;-12521,009999999971
2020-06-03;213,88;-12307,129999999972
2020-06-04;0,0;-12307,129999999972
2020-06-05;0,0;-12307,129999999972
2020-06-06;0,0;-12307,129999999972
2020-06-07;308,28;-11998,849999999971
2020-06-08;0,0;-11998,849999999971
2020-06-09;0,0;-11998,849999999971
2020-06-10;0,0;-11998,849999999971
2020-06-11;0,0;-11998,849999999971
2020-06-12;587,08;-11411,769999999971
2020-06-13;0,0;-11411,769999999971
2020-06-14;0,0;-11411,769999999971
2020-06-15;0,0;-11411,769999999971
2020-06-16;0,0;-11411,769999999971
2020-06-17;0,0;-11411,769999999971
2020-06-18;0,0;-11411,769999999971
2020-06-19;0,0;-11411,769999999971
2020-06-20;0,0;-11411,769999999971
2020-06-21;145,04;-11266,72999999997
2020-06-22;0,0;-11266,72999999997
2020-06-23;0,0;-11266,72999999997
2020-06-24;109,94;-11156,78999999997
2020-06-25;164,87;-10991,91999999997
2020-06-26;311,86;-10680,059999999969
2020-06-27;0,0;-10680,059999999969
2020-06-28;109,36;-10570,699999999968
2020-06-29;0,0;-10570,699999999968
2020-06-30;0,0;-10570,699999999968
2020-07-01;0,0;-10570,699999999968
2020-07-02;0,0;-10570,699999999968
2020-07-03;213,88;-10356,819999999969
2020-07-04;0,0;-10356,819999999969
2020-07-05;0,0;-10356,819999999969
2020-07-06;0,0;-10356,819999999969
2020-07-07;308,28;-10048,539999999968
2020-07-08;0,0;-10048,539999999968
2020-07-09;0,0;-10048,539999999968
